figure,direction,condition,metric,source_value,canonical_reference,status
fig5,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""AURC_delta"": ""-0.098292"", ""NLL_delta"": ""-0.365625"", ""condition"": ""C4"", ""conformal_abs_gap_delta"": ""-0.033275"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1_delta"": ""0.059917""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig5,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""AURC_delta"": ""-0.050221"", ""NLL_delta"": ""0.163002"", ""condition"": ""C5"", ""conformal_abs_gap_delta"": ""0.006730"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1_delta"": ""0.000633""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig6,ALL,C4/C5,risk-coverage source,"808 rows, seeds=['17']",frozen prediction bundles B0/B1,VERIFIED_REPRESENTATIVE_SEED_17; AURC INFERENCE USES THREE SEEDS
fig7,D1_SLEEPEDF_TO_ISRUC,C0,row/source equivalence,"{""AURC"": ""0.008727"", ""Brier"": ""0.116680"", ""ERROR_AUPRC"": ""0.513267"", ""ERROR_AUROC"": ""0.941503"", ""NLL"": ""0.217100"", ""abs_gap_alpha_0.10"": ""-0.099578"", ""condition"": ""C0"", ""coverage_alpha_0.10"": ""0.999578"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""2.880201""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D1_SLEEPEDF_TO_ISRUC,C1,row/source equivalence,"{""AURC"": ""0.013341"", ""Brier"": ""0.147876"", ""ERROR_AUPRC"": ""0.555727"", ""ERROR_AUROC"": ""0.933630"", ""NLL"": ""0.285673"", ""abs_gap_alpha_0.10"": ""-0.098542"", ""condition"": ""C1"", ""coverage_alpha_0.10"": ""0.998542"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.777620""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D1_SLEEPEDF_TO_ISRUC,C2,row/source equivalence,"{""AURC"": ""0.092689"", ""Brier"": ""0.356380"", ""ERROR_AUPRC"": ""0.544962"", ""ERROR_AUROC"": ""0.821334"", ""NLL"": ""0.670508"", ""abs_gap_alpha_0.10"": ""-0.093416"", ""condition"": ""C2"", ""coverage_alpha_0.10"": ""0.993416"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""4.000000""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D1_SLEEPEDF_TO_ISRUC,C3,row/source equivalence,"{""AURC"": ""0.187996"", ""Brier"": ""0.486777"", ""ERROR_AUPRC"": ""0.544111"", ""ERROR_AUROC"": ""0.727681"", ""NLL"": ""1.001996"", ""abs_gap_alpha_0.10"": ""-0.079853"", ""condition"": ""C3"", ""coverage_alpha_0.10"": ""0.979853"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.988505""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""AURC"": ""0.257754"", ""Brier"": ""0.543830"", ""ERROR_AUPRC"": ""0.581713"", ""ERROR_AUROC"": ""0.697928"", ""NLL"": ""1.055852"", ""abs_gap_alpha_0.10"": ""-0.078588"", ""condition"": ""C4"", ""coverage_alpha_0.10"": ""0.978588"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.999966""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""AURC"": ""0.603092"", ""Brier"": ""0.809347"", ""ERROR_AUPRC"": ""0.699027"", ""ERROR_AUROC"": ""0.559897"", ""NLL"": ""1.587294"", ""abs_gap_alpha_0.10"": ""-0.038105"", ""condition"": ""C5"", ""coverage_alpha_0.10"": ""0.938105"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""4.000000""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D2_ISRUC_TO_SLEEPEDF,C0,row/source equivalence,"{""AURC"": ""0.087661"", ""Brier"": ""0.336011"", ""ERROR_AUPRC"": ""0.519866"", ""ERROR_AUROC"": ""0.807277"", ""NLL"": ""0.623809"", ""abs_gap_alpha_0.10"": ""-0.065614"", ""condition"": ""C0"", ""coverage_alpha_0.10"": ""0.965614"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""2.531602""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D2_ISRUC_TO_SLEEPEDF,C1,row/source equivalence,"{""AURC"": ""0.133577"", ""Brier"": ""0.420700"", ""ERROR_AUPRC"": ""0.571031"", ""ERROR_AUROC"": ""0.783951"", ""NLL"": ""0.798375"", ""abs_gap_alpha_0.10"": ""-0.085284"", ""condition"": ""C1"", ""coverage_alpha_0.10"": ""0.985284"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.246266""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D2_ISRUC_TO_SLEEPEDF,C2,row/source equivalence,"{""AURC"": ""0.326439"", ""Brier"": ""0.611621"", ""ERROR_AUPRC"": ""0.629023"", ""ERROR_AUROC"": ""0.684221"", ""NLL"": ""1.171167"", ""abs_gap_alpha_0.10"": ""-0.069858"", ""condition"": ""C2"", ""coverage_alpha_0.10"": ""0.969858"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.809335""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D2_ISRUC_TO_SLEEPEDF,C3,row/source equivalence,"{""AURC"": ""0.160848"", ""Brier"": ""0.457813"", ""ERROR_AUPRC"": ""0.548376"", ""ERROR_AUROC"": ""0.751719"", ""NLL"": ""1.007769"", ""abs_gap_alpha_0.10"": ""0.008845"", ""condition"": ""C3"", ""coverage_alpha_0.10"": ""0.891155"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""2.526658""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""AURC"": ""0.318772"", ""Brier"": ""0.657987"", ""ERROR_AUPRC"": ""0.661875"", ""ERROR_AUROC"": ""0.715945"", ""NLL"": ""1.496221"", ""abs_gap_alpha_0.10"": ""0.024242"", ""condition"": ""C4"", ""coverage_alpha_0.10"": ""0.875758"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.395233""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig7,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""AURC"": ""0.453596"", ""Brier"": ""0.671008"", ""ERROR_AUPRC"": ""0.613813"", ""ERROR_AUROC"": ""0.596485"", ""NLL"": ""1.185907"", ""abs_gap_alpha_0.10"": ""-0.019532"", ""condition"": ""C5"", ""coverage_alpha_0.10"": ""0.919532"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1"": ""NOT_AVAILABLE_IN_B0_PER_SEED_TABLE"", ""mean_set_size_alpha_0.10"": ""3.381699""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C0,row/source equivalence,"{""b0_point"": ""0.984560901860251"", ""b1_point"": ""0.9826217708538749"", ""ci95_high"": ""-0.0007638646550721717"", ""ci95_low"": ""-0.003421269290035092"", ""condition"": ""C0"", ""delta"": ""-0.0019391310063761047"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C0,row/source equivalence,"{""b0_point"": ""0.4501267962806424"", ""b1_point"": ""0.5225415610030995"", ""ci95_high"": ""0.10259777333568984"", ""ci95_low"": ""0.050991081809609165"", ""condition"": ""C0"", ""delta"": ""0.07241476472245706"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C0,row/source equivalence,"{""b0_point"": ""0.8485886259858862"", ""b1_point"": ""0.8148263456482635"", ""ci95_high"": ""-0.025520618060326895"", ""ci95_low"": ""-0.041034591902449354"", ""condition"": ""C0"", ""delta"": ""-0.03376228033762274"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C0,row/source equivalence,"{""b0_point"": ""0.6909366704588548"", ""b1_point"": ""0.7089495638983694"", ""ci95_high"": ""0.03535918417417849"", ""ci95_low"": ""0.0014475829686023598"", ""condition"": ""C0"", ""delta"": ""0.01801289343951462"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C0,row/source equivalence,"{""b0_point"": ""0.7244525547445256"", ""b1_point"": ""0.7680454176804542"", ""ci95_high"": ""0.06265018070914818"", ""ci95_low"": ""0.024893590825946242"", ""condition"": ""C0"", ""delta"": ""0.04359286293592857"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C1,row/source equivalence,"{""b0_point"": ""0.9843144021560507"", ""b1_point"": ""0.9813974889896798"", ""ci95_high"": ""-0.0015879041850224097"", ""ci95_low"": ""-0.004471142613198875"", ""condition"": ""C1"", ""delta"": ""-0.0029169131663708825"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C1,row/source equivalence,"{""b0_point"": ""0.25119752042828963"", ""b1_point"": ""0.33939137785291634"", ""ci95_high"": ""0.10903435340302506"", ""ci95_low"": ""0.059896061439792314"", ""condition"": ""C1"", ""delta"": ""0.08819385742462671"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C1,row/source equivalence,"{""b0_point"": ""0.8462363359623634"", ""b1_point"": ""0.8172132281721324"", ""ci95_high"": ""-0.014678241406465125"", ""ci95_low"": ""-0.04233017963545592"", ""condition"": ""C1"", ""delta"": ""-0.029023107790230984"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C1,row/source equivalence,"{""b0_point"": ""0.59935532802427"", ""b1_point"": ""0.7098976109215017"", ""ci95_high"": ""0.15055318745855825"", ""ci95_low"": ""0.06561473285449118"", ""condition"": ""C1"", ""delta"": ""0.11054228289723167"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C1,row/source equivalence,"{""b0_point"": ""0.5283860502838604"", ""b1_point"": ""0.629764801297648"", ""ci95_high"": ""0.18036621284627363"", ""ci95_low"": ""0.03257317267946459"", ""condition"": ""C1"", ""delta"": ""0.10137875101378757"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C2,row/source equivalence,"{""b0_point"": ""0.8094310786827056"", ""b1_point"": ""0.9627456780385196"", ""ci95_high"": ""0.21666106968552265"", ""ci95_low"": ""0.09837934062004476"", ""condition"": ""C2"", ""delta"": ""0.15331459935581404"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C2,row/source equivalence,"{""b0_point"": ""0.5493096646942801"", ""b1_point"": ""0.3364327979712595"", ""ci95_high"": ""-0.1856483645555511"", ""ci95_low"": ""-0.2504913155603013"", ""condition"": ""C2"", ""delta"": ""-0.21287686672302059"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C2,row/source equivalence,"{""b0_point"": ""0.6329735713297358"", ""b1_point"": ""0.7885360453853604"", ""ci95_high"": ""0.23761625355602986"", ""ci95_low"": ""0.07786434901552669"", ""condition"": ""C2"", ""delta"": ""0.15556247405562462"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C2,row/source equivalence,"{""b0_point"": ""0.051952976867652635"", ""b1_point"": ""0.4507015547971179"", ""ci95_high"": ""0.5211549742422639"", ""ci95_low"": ""0.2839158851646083"", ""condition"": ""C2"", ""delta"": ""0.3987485779294652"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C2,row/source equivalence,"{""b0_point"": ""0.6597729115977291"", ""b1_point"": ""0.6353406326034063"", ""ci95_high"": ""-0.0032628751853228605"", ""ci95_low"": ""-0.049835322335322285"", ""condition"": ""C2"", ""delta"": ""-0.024432278994322765"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C3,row/source equivalence,"{""b0_point"": ""0.9169971440228478"", ""b1_point"": ""0.9046919624643003"", ""ci95_high"": ""-0.004943891361580895"", ""ci95_low"": ""-0.01941304529344083"", ""condition"": ""C3"", ""delta"": ""-0.01230518155854754"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C3,row/source equivalence,"{""b0_point"": ""0.2297650130548303"", ""b1_point"": ""0.29332753118653904"", ""ci95_high"": ""0.07839254397031495"", ""ci95_low"": ""0.04790220153981903"", ""condition"": ""C3"", ""delta"": ""0.06356251813170874"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C3,row/source equivalence,"{""b0_point"": ""0.8171543417863688"", ""b1_point"": ""0.7803865933676183"", ""ci95_high"": ""-0.028331873981564934"", ""ci95_low"": ""-0.04606930580087123"", ""condition"": ""C3"", ""delta"": ""-0.03676774841875052"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C3,row/source equivalence,"{""b0_point"": ""0.4083439416734174"", ""b1_point"": ""0.453554758322725"", ""ci95_high"": ""0.05590956977597155"", ""ci95_low"": ""0.034960956071016416"", ""condition"": ""C3"", ""delta"": ""0.045210816649307595"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C3,row/source equivalence,"{""b0_point"": ""0.5703579418344519"", ""b1_point"": ""0.6117170022371364"", ""ci95_high"": ""0.06003292261912534"", ""ci95_low"": ""0.022189547134858812"", ""condition"": ""C3"", ""delta"": ""0.041359060402684555"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""b0_point"": ""0.8759853121175031"", ""b1_point"": ""0.8404406364749081"", ""ci95_high"": ""-0.026329118369793368"", ""ci95_low"": ""-0.045174686014636645"", ""condition"": ""C4"", ""delta"": ""-0.035544675642595"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""b0_point"": ""0.07539889759210909"", ""b1_point"": ""0.1442123585726719"", ""ci95_high"": ""0.0780271445544203"", ""ci95_low"": ""0.059299949278063466"", ""condition"": ""C4"", ""delta"": ""0.0688134609805628"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""b0_point"": ""0.7555831412188923"", ""b1_point"": ""0.7433351066974051"", ""ci95_high"": ""-0.005819867992409247"", ""ci95_low"": ""-0.01846236641711978"", ""condition"": ""C4"", ""delta"": ""-0.01224803452148715"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""b0_point"": ""0.2725957643791228"", ""b1_point"": ""0.36521621725880493"", ""ci95_high"": ""0.10437029473055758"", ""ci95_low"": ""0.08116004032271547"", ""condition"": ""C4"", ""delta"": ""0.09262045287968212"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""b0_point"": ""0.7038031319910515"", ""b1_point"": ""0.7088366890380313"", ""ci95_high"": ""0.021527612150565673"", ""ci95_low"": ""-0.011345990071888185"", ""condition"": ""C4"", ""delta"": ""0.005033557046979831"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""b0_point"": ""0.7008567931456549"", ""b1_point"": ""0.8930558955528355"", ""ci95_high"": ""0.2536577555592369"", ""ci95_low"": ""0.13407701154430882"", ""condition"": ""C5"", ""delta"": ""0.19219910240718063"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""b0_point"": ""0.19321148825065274"", ""b1_point"": ""0.09588047577603713"", ""ci95_high"": ""-0.06278652159333745"", ""ci95_low"": ""-0.13388786604156228"", ""condition"": ""C5"", ""delta"": ""-0.0973310124746156"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""b0_point"": ""0.35234379618135603"", ""b1_point"": ""0.6924632026955134"", ""ci95_high"": ""0.3766937878876873"", ""ci95_low"": ""0.30157330087111506"", ""condition"": ""C5"", ""delta"": ""0.3401194065141574"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""b0_point"": ""0.051730123828260616"", ""b1_point"": ""0.48385603518111325"", ""ci95_high"": ""0.48195218171599985"", ""ci95_low"": ""0.3797362440956662"", ""condition"": ""C5"", ""delta"": ""0.4321259113528526"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""b0_point"": ""0.2535234899328859"", ""b1_point"": ""0.23783557046979867"", ""ci95_high"": ""0.00407052365579791"", ""ci95_low"": ""-0.035018782937991544"", ""condition"": ""C5"", ""delta"": ""-0.015687919463087258"", ""experiment_id"": ""D1_SLEEPEDF_TO_ISRUC"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C0,row/source equivalence,"{""b0_point"": ""0.8174406888339286"", ""b1_point"": ""0.8357607401300724"", ""ci95_high"": ""0.035559238492077386"", ""ci95_low"": ""-0.0016392453477572064"", ""condition"": ""C0"", ""delta"": ""0.01832005129614378"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
